Player,if_end_game,if_end_set,if_server,weighted_sum_break_fail,weighted_sum_break_point,weighted_sum_broken,weighted_sum_game_point,weighted_sum_if_score,weighted_sum_if_win_game,weighted_sum_if_win_set,weighted_sum_rally_count
Alejandro Davidovich Fokina,-0.27323274616348125,0.0,2.7497559782136554,-0.7344541674361421,0.0,0.0,0.25946510738024314,0.11360648081001003,0.17768712449653287,-11.916784028004228,-0.01538160660713175
Alexander Bublik,0.0,0.0,3.527116030379665,-0.5938355896898514,0.0,0.0,0.0,0.0,0.0,0.0,-0.02767511030231186
Alexander Zverev,0.0,0.0,4.475262723839892,0.0,0.0,0.0,0.0,-0.23990862480656036,0.0,0.0,-0.009832505412988682
Andrey Rublev,0.14225837211847644,0.0,2.905809002007324,-1.1653799879459719,-1.9097547219142907,1.0098541844732265,0.12389352536130656,0.0022512576606507355,0.0,0.0,0.010524787694713818
Carlos Alcaraz,0.14855621583209588,-0.26578979154151594,2.490537423485839,0.0,0.08554063481870047,0.0,0.15682952026176772,-0.1657887552186946,0.8795450445134206,-4.500209403525241,-0.0022790377534251667
Christopher Eubanks,-0.2837188678463967,0.5973840489907306,3.256957848648559,0.0,0.0,0.0,0.0,0.3059691703937092,-1.7586472681565026,0.0,0.027654912857602826
Christopher O'Connell,0.0,0.0,3.897877066571811,0.0,0.0,0.0,-1.2660347547029633,0.3009862925607504,0.0,0.0,-0.022769545121126108
Daniel Elahi Galan,-0.1701231802490199,0.0,1.8108431493573498,0.0,0.0,0.0,-0.006716838933385836,0.41987925836993606,-1.4948541094758434,0.0,-0.010644916043533247
Daniil Medvedev,0.0,-3.4438936912940057,2.6975868961100713,0.0,-0.6341987250395207,-1.4854933703140378,0.284319177058172,0.06995007008989913,0.954055459249687,6.921894277454542,0.0048639546313269215
David Goffin,0.0,0.0,2.0126894887889004,0.0,-0.2652418282319662,1.374308751592796,0.0,-0.024349392195199812,0.0,0.0,-0.00976348461769417
Denis Shapovalov,-0.8822440772148546,0.0,1.8082829418664297,-0.48195526877296097,-0.47900123528647487,-1.5663035885741992,0.5274218151192781,0.1235353819410207,0.0,0.4831357884189297,-0.0015281782263259307
Frances Tiafoe,0.0,8.822169206970727,3.1665223907328826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.811098616070188e-05
Grigor Dimitrov,0.017674270201092884,-1.013223344433256,3.1248142599054436,1.0917086115008616,0.0,0.0,-0.41767162508727035,0.04262813850697723,-0.5933903315502346,0.0,-0.0028809124565620514
Guido Pella,0.0,0.0,2.4855295483678983,0.0,0.0,0.0,0.0,0.18366142492634496,0.0,0.0,0.0
Holger Rune,0.1382578895405261,0.3108688397090755,3.222529100836134,0.0,0.0,0.0,0.3687873595423627,0.0,0.0,0.0,0.010639264778158256
Hubert Hurkacz,-0.7193767889663362,0.0,3.9168624018299685,0.0,3.5486954013858503,0.0,0.0,0.4042712028416164,-0.010503380542436616,0.0,-0.010702598414613906
Jannik Sinner,-0.28630189142517487,0.0,3.124365663189679,-2.0029886106858834,0.0,0.0,1.1196405703099042,0.0,0.06626116176790693,-2.0313646022937406,-0.001238521573788769
Jiri Lehecka,0.0,-0.14199807195051534,3.163798118818631,2.638329443789789,0.0,0.0,0.16333231316845032,0.3786491350215326,0.0,0.6377923948966134,-0.0024864093578969146
Laslo Djere,0.0,0.0,3.665985769850417,0.0,0.43624104020407584,0.0,0.0,0.3538788688286738,-0.27359738383370336,0.0,-0.011393778051903617
Liam Broady,0.6519912672041507,0.0,1.1061878944091845,0.0,0.20789496398982585,0.0,0.0,-0.22560143972239033,-0.16617319748822934,0.0,-0.0017622062790255083
Lorenzo Musetti,0.0,0.0,3.197734006713087,0.0,0.0,0.0,0.0,0.0,0.9514092998309999,0.0,0.02180367589367139
Marton Fucsovics,-0.3049375679585293,4.208063809745166,2.5105892265243273,-0.3866984053316159,-1.943396670199226,-0.829958724126785,0.0,0.0,0.0,0.0,-0.003743305431449503
Matteo Berrettini,0.0,0.0,3.513800390742845,0.0,0.0,0.0,0.0,0.035189626172582984,-0.33205962933227556,0.0,0.014717997897264554
Maximilian Marterer,-1.4832168693956402,0.0,2.9086248314199095,0.0,0.0,0.0,0.0,-0.3282705117601107,0.0,0.0,0.06408195681920814
Mikael Ymer,0.0,0.0,1.0537422811781942,0.0,0.0,0.0,-0.6807537046893021,0.36013159836620223,-0.19299576151267012,0.0,0.0
Nicolas Jarry,0.5767496920503558,0.0,2.300884176947287,-3.9374501110605387,0.0,-1.128886961633404,-0.8935437731827487,-0.6682265195148813,0.0,0.0,-0.01977561758837486
Novak Djokovic,0.46278382998479306,1.5524858561215564,3.0555394822258575,0.0,0.0,0.0,0.0,0.03313019129823704,0.9412745126198808,-4.063163358552071,-0.002690420406189004
Quentin Halys,1.1273572251710264,0.0,2.678845743304046,0.0,0.0,0.0,0.0,-0.2629539097714693,-0.8093087955339602,0.0,-0.01056085807974855
Roman Safiullin,0.047692704973138295,0.0,2.6815488458210677,3.587739799342638,1.3567982975651485,-6.0435484276361855,0.265466639346573,0.7047321025282366,0.0,0.0,-0.0033369175264841102
Stan Wawrinka,0.795188777940072,-6.534315009770529,3.3232554152767575,0.0,0.0,0.0,0.0,-0.09212000920498353,-0.8445797168579772,0.0,-0.004357597608181444
Stefanos Tsitsipas,0.13491254539348618,0.0,3.495601424067918,0.0,0.0,0.0,0.0,0.1798045734844548,0.0,0.0,-0.015196142095914442
Tommy Paul,0.02785570730638454,3.4057283884117053,3.600955498900686,-1.609460766319827,-6.604238997865298,0.0,1.0451568611860698,0.0,0.0,0.0,0.0040489043537474175
